movie,city,theater_count,estimated_city_gross
Lady Vengeance,Houston,50,$462.26
The Texas Chainsaw Massacre,Houston,50,"$175,961.14"
Let's Be Cops,Houston,50,"$179,933.93"
The Infiltrator,Houston,50,"$33,688.69"
Everybody Knows,Houston,50,"$5,809.56"
The Losers,Houston,50,"$51,498.17"
Intolerable Cruelty,Houston,50,"$77,152.32"
Only God Forgives,Houston,50,"$1,700.31"
Bully,Houston,50,"$3,358.13"
Confessions of a Dangerous Mind,Houston,50,"$34,950.35"
A Single Man,Houston,50,"$20,019.59"
Dancer in the Dark,Houston,50,"$9,137.55"
Snakes on a Plane,Houston,50,"$74,298.35"
Swordfish,Houston,50,"$152,377.80"
Changeling,Houston,50,"$78,052.47"
Notorious,Houston,50,"$80,463.24"
The Ghost Writer,Houston,50,"$33,941.32"
Mechanic: Resurrection,Houston,50,"$46,339.06"
Border,Houston,50,"$1,685.82"
The Bling Ring,Houston,50,"$12,756.31"
Michael Clayton,Houston,50,"$107,085.52"
Dope,Houston,50,"$38,161.86"
A Walk Among the Tombstones,Houston,50,"$57,453.40"
Super Troopers 2,Houston,50,"$66,865.60"
Capote,Houston,50,"$62,782.07"
Awake,Houston,50,"$31,398.49"
The Hangover Part III,Houston,50,"$245,034.72"
Taken 2,Houston,50,"$305,429.00"
Big Momma's House,Houston,50,"$256,739.09"
Compliance,Houston,50,$695.84
Jigsaw,Houston,50,"$83,103.91"
Street Kings,Houston,50,"$57,695.96"
Machete Kills,Houston,50,"$17,489.09"
The Hurricane Heist,Houston,50,"$13,356.40"
The Counselor,Houston,50,"$37,069.04"
Filth,Houston,50,$74.95
Patriots Day,Houston,50,"$69,636.90"
National Security,Houston,50,"$78,107.46"
Charlie's Angels: Full Throttle,Houston,50,"$220,203.76"
Holmes & Watson,Houston,50,"$66,770.01"
Mother,Houston,50,"$1,195.24"
The Hustle,Houston,50,"$77,347.58"
Transporter 2,Houston,50,"$94,116.86"
Spy Game,Houston,50,$58.68
The Gambler,Houston,50,"$73,556.21"
Sabotage,Houston,50,"$22,949.64"
Hitman: Agent 47,Houston,50,"$49,066.86"
The Life of David Gale,Houston,50,"$42,790.94"
Scoob!,Houston,50,"$4,779.32"
Elektra,Houston,50,"$53,308.61"
The Guilty,Houston,50,$452.37
A Most Wanted Man,Houston,50,"$37,644.57"
Parker,Houston,50,"$38,473.14"
Death to Smoochy,Houston,50,"$18,248.34"
Gold,Houston,50,"$15,783.19"
Killer Elite,Houston,50,"$54,870.68"
Masterminds,Houston,50,"$37,905.87"
Baby Boy,Houston,50,"$62,753.64"
Taken 3,Houston,50,"$194,927.89"
The Man Who Wasn't There,Houston,50,"$16,368.07"
Rush Hour 3,Houston,50,"$306,022.33"
Lilya 4-Ever,Houston,50,$396.72
Crank: High Voltage,Houston,50,"$29,767.17"
Little Man,Houston,50,"$128,075.44"
Hotel Artemis,Houston,50,"$14,649.98"
Mean Creek,Houston,50,"$1,318.97"
Date Night,Houston,50,"$215,576.70"
Matchstick Men,Houston,50,"$80,600.34"
Unleashed,Houston,50,"$53,551.39"
Killshot,Houston,50,$37.14
American Animals,Houston,50,"$6,239.33"
Hannibal Rising,Houston,50,"$60,430.91"
Flawless,Houston,50,"$2,621.20"
All Good Things,Houston,50,"$1,263.13"
Kill the Irishman,Houston,50,"$2,593.85"
Kiss of the Dragon,Houston,50,"$80,466.39"
Gridiron Gang,Houston,50,"$83,933.78"
Animal Kingdom,Houston,50,"$2,280.09"
Get Hard,Houston,50,"$197,450.36"
Shaft,Houston,50,"$153,603.60"
Assassination Nation,Houston,50,"$4,278.72"
Get Rich or Die Tryin',Houston,50,"$67,661.53"
Shaft,Houston,50,"$46,648.76"
Blue Ruin,Houston,50,$563.70
Starsky & Hutch,Houston,50,"$192,703.20"
Infernal Affairs,Houston,50,$370.52
Taking Lives,Houston,50,"$71,375.25"
Can You Ever Forgive Me?,Houston,50,"$19,226.84"
Osmosis Jones,Houston,50,"$29,694.41"
Taxi,Houston,50,"$79,955.23"
Beirut,Houston,50,"$10,961.53"
Catwoman,Houston,50,"$87,798.33"
Andhadhun,Houston,50,"$3,000.57"
Hustle & Flow,Houston,50,"$48,486.35"
Derailed,Houston,50,"$78,673.30"
Beast,Houston,50,"$1,747.92"
Thoroughbreds,Houston,50,"$6,182.15"
After the Sunset,Houston,50,"$61,872.83"
CBGB,Houston,50,$87.44
New York Minute,Houston,50,"$30,614.83"
Veronica Mars,Houston,50,"$7,248.63"
Sympathy for Mr. Vengeance,Houston,50,$98.91
The Three Burials of Melquiades Estrada,Houston,50,"$10,970.37"
The Happytime Murders,Houston,50,"$45,221.00"
Stuber,Houston,50,"$48,855.03"
True Story,Houston,50,"$10,307.38"
Hostage,Houston,50,"$75,650.47"
London Fields,Houston,50,$551.82
Tangerine,Houston,50,"$1,532.75"
Four Lions,Houston,50,$664.21
Spun,Houston,50,$895.93
The Sentinel,Houston,50,"$79,233.73"
A Nightmare on Elm Street,Houston,50,"$137,750.07"
Peter Rabbit,Houston,50,"$251,702.96"
Safe,Houston,50,"$37,436.74"
Fun with Dick and Jane,Houston,50,"$240,956.63"
