movie,city,theater_count,estimated_city_gross
Sin City: A Dame to Kill For,Los Angeles,50,"$53,941.93"
Super Troopers,Los Angeles,50,"$72,489.43"
Tell No One,Los Angeles,50,"$24,219.68"
In the Bedroom,Los Angeles,50,"$140,877.59"
Good Time,Los Angeles,50,"$7,945.55"
R.I.P.D.,Los Angeles,50,"$131,813.62"
The Heat,Los Angeles,50,"$625,693.73"
Runaway Jury,Los Angeles,50,"$193,859.78"
Daredevil,Los Angeles,50,"$402,055.13"
The Bank Job,Los Angeles,50,"$117,862.57"
Bronson,Los Angeles,50,$410.87
The Raid: Redemption,Los Angeles,50,"$16,095.72"
The Brothers Grimsby,Los Angeles,50,"$26,912.60"
Lord of War,Los Angeles,50,"$94,686.46"
Papillon,Los Angeles,50,"$9,158.64"
Austin Powers in Goldmember,Los Angeles,50,"$836,342.76"
Ocean's Twelve,Los Angeles,50,"$492,237.07"
The Girl in the Spider's Web,Los Angeles,50,"$58,190.28"
Hitman,Los Angeles,50,"$155,608.48"
The Old Man & the Gun,Los Angeles,50,"$44,215.61"
Live by Night,Los Angeles,50,"$40,692.49"
Before the Devil Knows You're Dead,Los Angeles,50,"$27,771.30"
Alpha Dog,Los Angeles,50,"$59,711.51"
Fracture,Los Angeles,50,"$152,971.03"
Crank,Los Angeles,50,"$109,116.05"
Kiss Kiss Bang Bang,Los Angeles,50,"$16,639.02"
Bolt,Los Angeles,50,"$447,184.05"
Freedom Writers,Los Angeles,50,"$143,524.14"
The Girl with the Dragon Tattoo,Los Angeles,50,"$39,581.39"
Charlie's Angels,Los Angeles,50,"$491,301.03"
Inherent Vice,Los Angeles,50,"$31,801.71"
The Transporter,Los Angeles,50,"$99,182.93"
The Pink Panther,Los Angeles,50,"$322,395.56"
RoboCop,Los Angeles,50,"$229,787.78"
Walking Tall,Los Angeles,50,"$182,074.13"
Ocean's Thirteen,Los Angeles,50,"$459,343.09"
CHIPS,Los Angeles,50,"$72,927.93"
Going in Style,Los Angeles,50,"$176,509.79"
The American,Los Angeles,50,"$139,606.35"
Frequency,Los Angeles,50,"$176,477.39"
The Family,Los Angeles,50,"$144,752.17"
Killing Them Softly,Los Angeles,50,"$58,914.53"
Muppets Most Wanted,Los Angeles,50,"$200,680.00"
The Best Offer,Los Angeles,50,$334.97
Calvary,Los Angeles,50,"$14,089.33"
The Taking of Pelham 123,Los Angeles,50,"$256,627.02"
Pain & Gain,Los Angeles,50,"$195,552.25"
You Were Never Really Here,Los Angeles,50,"$9,894.63"
Be Cool,Los Angeles,50,"$219,750.36"
Kick-Ass 2,Los Angeles,50,"$112,904.00"
Horrible Bosses 2,Los Angeles,50,"$213,470.68"
Chappie,Los Angeles,50,"$123,777.55"
Triple 9,Los Angeles,50,"$49,507.88"
Stand Up Guys,Los Angeles,50,"$12,942.82"
Miami Vice,Los Angeles,50,"$248,778.15"
Boiler Room,Los Angeles,50,"$66,411.62"
Don't Breathe 2,Los Angeles,50,"$127,968.01"
The Judge,Los Angeles,50,"$184,746.84"
War,Los Angeles,50,"$88,165.26"
Brick,Los Angeles,50,"$8,079.21"
Despicable Me 2,Los Angeles,50,"$1,443,103.56"
21 Grams,Los Angeles,50,"$63,872.09"
Bastille Day,Los Angeles,50,$152.91
The Next Three Days,Los Angeles,50,"$82,920.15"
Takers,Los Angeles,50,"$226,406.90"
The Number 23,Los Angeles,50,"$137,986.23"
Drishyam,Los Angeles,50,"$2,899.36"
All the Money in the World,Los Angeles,50,"$98,437.45"
White Boy Rick,Los Angeles,50,"$94,143.65"
Identity Thief,Los Angeles,50,"$527,378.01"
Halloween,Los Angeles,50,"$624,752.05"
Green Street Hooligans,Los Angeles,50,"$1,349.14"
Machete,Los Angeles,50,"$104,269.01"
The Big Bounce,Los Angeles,50,"$25,373.20"
Regression,Los Angeles,50,$214.60
Panic Room,Los Angeles,50,"$377,957.01"
Revolver,Los Angeles,50,$295.71
Once Upon a Time in Mexico,Los Angeles,50,"$220,976.80"
The Hunted,Los Angeles,50,"$134,243.58"
Frailty,Los Angeles,50,"$51,377.81"
A Most Violent Year,Los Angeles,50,"$22,506.75"
"Roman J. Israel, Esq.",Los Angeles,50,"$46,903.69"
Tower Heist,Los Angeles,50,"$306,006.89"
Despicable Me 3,Los Angeles,50,"$1,037,545.40"
Phone Booth,Los Angeles,50,"$182,577.94"
RED 2,Los Angeles,50,"$208,833.14"
ATL,Los Angeles,50,"$82,964.99"
Official Secrets,Los Angeles,50,"$1,550.73"
Deliver Us from Evil,Los Angeles,50,"$119,887.52"
The Whole Nine Yards,Los Angeles,50,"$224,516.17"
Man on a Ledge,Los Angeles,50,"$73,005.75"
Notes on a Scandal,Los Angeles,50,"$68,648.42"
Disturbia,Los Angeles,50,"$314,488.11"
The Mechanic,Los Angeles,50,"$114,180.28"
Super,Los Angeles,50,"$1,263.12"
The Raid 2,Los Angeles,50,"$10,300.82"
Big Eyes,Los Angeles,50,"$56,772.66"
Homefront,Los Angeles,50,"$79,037.91"
Gangster Squad,Los Angeles,50,"$180,361.46"
Shoplifters,Los Angeles,50,"$12,991.70"
Elephant,Los Angeles,50,"$4,810.85"
Hoodwinked!,Los Angeles,50,"$201,477.87"
Snowden,Los Angeles,50,"$84,640.87"
The Black Dahlia,Los Angeles,50,"$88,290.40"
Sexy Beast,Los Angeles,50,"$27,234.27"
Into the Blue,Los Angeles,50,"$72,426.89"
Rush Hour 2,Los Angeles,50,"$886,750.44"
Nerve,Los Angeles,50,"$151,279.62"
Miss Congeniality 2: Armed & Fabulous,Los Angeles,50,"$190,073.75"
Heartbreakers,Los Angeles,50,"$158,152.75"
This Is England,Los Angeles,50,"$1,285.71"
The Devil's Rejects,Los Angeles,50,"$66,830.38"
A Scanner Darkly,Los Angeles,50,"$21,570.87"
The Raven,Los Angeles,50,"$62,765.62"
30 Minutes or Less,Los Angeles,50,"$145,281.93"
Wild Card,Los Angeles,50,$12.55
The Score,Los Angeles,50,"$278,652.53"
Lady Vengeance,Los Angeles,50,$829.91
The Texas Chainsaw Massacre,Los Angeles,50,"$315,907.31"
Let's Be Cops,Los Angeles,50,"$323,039.75"
The Infiltrator,Los Angeles,50,"$60,482.13"
Everybody Knows,Los Angeles,50,"$10,430.04"
The Losers,Los Angeles,50,"$92,455.92"
Intolerable Cruelty,Los Angeles,50,"$138,513.42"
Only God Forgives,Los Angeles,50,"$3,052.62"
Bully,Los Angeles,50,"$6,028.93"
Confessions of a Dangerous Mind,Los Angeles,50,"$62,747.21"
A Single Man,Los Angeles,50,"$35,941.66"
Dancer in the Dark,Los Angeles,50,"$16,404.87"
Snakes on a Plane,Los Angeles,50,"$133,389.64"
Swordfish,Los Angeles,50,"$273,567.55"
Changeling,Los Angeles,50,"$140,129.49"
Notorious,Los Angeles,50,"$144,457.61"
The Ghost Writer,Los Angeles,50,"$60,935.68"
Mechanic: Resurrection,Los Angeles,50,"$83,193.63"
Border,Los Angeles,50,"$3,026.60"
The Bling Ring,Los Angeles,50,"$22,901.72"
Michael Clayton,Los Angeles,50,"$192,253.24"
Dope,Los Angeles,50,"$68,512.90"
A Walk Among the Tombstones,Los Angeles,50,"$103,147.48"
Super Troopers 2,Los Angeles,50,"$120,045.43"
Capote,Los Angeles,50,"$112,714.17"
Awake,Los Angeles,50,"$56,370.47"
The Hangover Part III,Los Angeles,50,"$439,916.77"
Taken 2,Los Angeles,50,"$548,344.09"
Big Momma's House,Los Angeles,50,"$460,929.91"
Compliance,Los Angeles,50,"$1,249.26"
Jigsaw,Los Angeles,50,"$149,198.47"
Street Kings,Los Angeles,50,"$103,582.95"
Machete Kills,Los Angeles,50,"$31,398.59"
The Hurricane Heist,Los Angeles,50,"$23,979.08"
The Counselor,Los Angeles,50,"$66,550.95"
Filth,Los Angeles,50,$134.57
Patriots Day,Los Angeles,50,"$125,020.82"
National Security,Los Angeles,50,"$140,228.21"
Charlie's Angels: Full Throttle,Los Angeles,50,"$395,337.15"
Holmes & Watson,Los Angeles,50,"$119,873.82"
Mother,Los Angeles,50,"$2,145.84"
The Hustle,Los Angeles,50,"$138,863.98"
Transporter 2,Los Angeles,50,"$168,970.28"
Spy Game,Los Angeles,50,$105.36
The Gambler,Los Angeles,50,"$132,057.25"
Sabotage,Los Angeles,50,"$41,202.05"
Hitman: Agent 47,Los Angeles,50,"$88,090.92"
The Life of David Gale,Los Angeles,50,"$76,823.61"
Scoob!,Los Angeles,50,"$8,580.43"
Elektra,Los Angeles,50,"$95,706.23"
The Guilty,Los Angeles,50,$812.16
A Most Wanted Man,Los Angeles,50,"$67,584.21"
Parker,Los Angeles,50,"$69,071.75"
Death to Smoochy,Los Angeles,50,"$32,761.68"
Gold,Los Angeles,50,"$28,335.95"
Killer Elite,Los Angeles,50,"$98,510.66"
Masterminds,Los Angeles,50,"$68,053.33"
Baby Boy,Los Angeles,50,"$112,663.13"
Taken 3,Los Angeles,50,"$349,958.76"
The Man Who Wasn't There,Los Angeles,50,"$29,385.99"
Rush Hour 3,Los Angeles,50,"$549,409.31"
Lilya 4-Ever,Los Angeles,50,$712.24
Crank: High Voltage,Los Angeles,50,"$53,441.72"
Little Man,Los Angeles,50,"$229,936.95"
Hotel Artemis,Los Angeles,50,"$26,301.47"
Mean Creek,Los Angeles,50,"$2,367.99"
