movie,city,theater_count,estimated_city_gross
Be Cool,Phoenix,50,"$86,782.14"
Kick-Ass 2,Phoenix,50,"$44,587.19"
Horrible Bosses 2,Phoenix,50,"$84,302.22"
Chappie,Phoenix,50,"$48,881.29"
Triple 9,Phoenix,50,"$19,551.27"
Stand Up Guys,Phoenix,50,"$5,111.28"
Miami Vice,Phoenix,50,"$98,245.57"
Boiler Room,Phoenix,50,"$26,226.77"
Don't Breathe 2,Phoenix,50,"$50,536.15"
The Judge,Phoenix,50,"$72,958.82"
War,Phoenix,50,"$34,817.55"
Brick,Phoenix,50,"$3,190.58"
Despicable Me 2,Phoenix,50,"$569,899.47"
21 Grams,Phoenix,50,"$25,223.88"
Bastille Day,Phoenix,50,$60.39
The Next Three Days,Phoenix,50,"$32,746.19"
Takers,Phoenix,50,"$89,410.89"
The Number 23,Phoenix,50,"$54,492.47"
Drishyam,Phoenix,50,"$1,144.99"
All the Money in the World,Phoenix,50,"$38,874.17"
White Boy Rick,Phoenix,50,"$37,178.49"
Identity Thief,Phoenix,50,"$208,268.10"
Halloween,Phoenix,50,"$246,722.32"
Green Street Hooligans,Phoenix,50,$532.79
Machete,Phoenix,50,"$41,177.12"
The Big Bounce,Phoenix,50,"$10,020.19"
Regression,Phoenix,50,$84.75
Panic Room,Phoenix,50,"$149,259.90"
Revolver,Phoenix,50,$116.78
Once Upon a Time in Mexico,Phoenix,50,"$87,266.47"
The Hunted,Phoenix,50,"$53,014.45"
Frailty,Phoenix,50,"$20,289.73"
A Most Violent Year,Phoenix,50,"$8,888.19"
"Roman J. Israel, Esq.",Phoenix,50,"$18,522.85"
Tower Heist,Phoenix,50,"$120,845.91"
Despicable Me 3,Phoenix,50,"$409,739.52"
Phone Booth,Phoenix,50,"$72,102.29"
RED 2,Phoenix,50,"$82,470.79"
ATL,Phoenix,50,"$32,763.90"
Official Secrets,Phoenix,50,$612.40
Deliver Us from Evil,Phoenix,50,"$47,345.07"
The Whole Nine Yards,Phoenix,50,"$88,664.22"
Man on a Ledge,Phoenix,50,"$28,830.87"
Notes on a Scandal,Phoenix,50,"$27,110.11"
Disturbia,Phoenix,50,"$124,195.25"
The Mechanic,Phoenix,50,"$45,091.21"
Super,Phoenix,50,$498.82
The Raid 2,Phoenix,50,"$4,067.92"
Big Eyes,Phoenix,50,"$22,420.23"
Homefront,Phoenix,50,"$31,213.05"
Gangster Squad,Phoenix,50,"$71,226.97"
Shoplifters,Phoenix,50,"$5,130.58"
Elephant,Phoenix,50,"$1,899.86"
Hoodwinked!,Phoenix,50,"$79,566.11"
Snowden,Phoenix,50,"$33,425.73"
The Black Dahlia,Phoenix,50,"$34,866.97"
Sexy Beast,Phoenix,50,"$10,755.15"
Into the Blue,Phoenix,50,"$28,602.28"
Rush Hour 2,Phoenix,50,"$350,188.73"
Nerve,Phoenix,50,"$59,742.20"
Miss Congeniality 2: Armed & Fabulous,Phoenix,50,"$75,062.48"
Heartbreakers,Phoenix,50,"$62,456.48"
This Is England,Phoenix,50,$507.74
The Devil's Rejects,Phoenix,50,"$26,392.14"
A Scanner Darkly,Phoenix,50,"$8,518.60"
The Raven,Phoenix,50,"$24,786.92"
30 Minutes or Less,Phoenix,50,"$57,373.63"
Wild Card,Phoenix,50,$4.95
The Score,Phoenix,50,"$110,043.33"
Lady Vengeance,Phoenix,50,$327.74
The Texas Chainsaw Massacre,Phoenix,50,"$124,755.71"
Let's Be Cops,Phoenix,50,"$127,572.40"
The Infiltrator,Phoenix,50,"$23,885.14"
Everybody Knows,Phoenix,50,"$4,118.95"
The Losers,Phoenix,50,"$36,511.99"
Intolerable Cruelty,Phoenix,50,"$54,700.67"
Only God Forgives,Phoenix,50,"$1,205.52"
Bully,Phoenix,50,"$2,380.90"
Confessions of a Dangerous Mind,Phoenix,50,"$24,779.65"
A Single Man,Phoenix,50,"$14,193.81"
Dancer in the Dark,Phoenix,50,"$6,478.49"
Snakes on a Plane,Phoenix,50,"$52,677.22"
Swordfish,Phoenix,50,"$108,035.21"
Changeling,Phoenix,50,"$55,338.87"
Notorious,Phoenix,50,"$57,048.10"
The Ghost Writer,Phoenix,50,"$24,064.26"
Mechanic: Resurrection,Phoenix,50,"$32,854.19"
Border,Phoenix,50,"$1,195.24"
The Bling Ring,Phoenix,50,"$9,044.17"
Michael Clayton,Phoenix,50,"$75,923.18"
Dope,Phoenix,50,"$27,056.59"
A Walk Among the Tombstones,Phoenix,50,"$40,734.22"
Super Troopers 2,Phoenix,50,"$47,407.43"
Capote,Phoenix,50,"$44,512.22"
Awake,Phoenix,50,"$22,261.40"
The Hangover Part III,Phoenix,50,"$173,728.58"
Taken 2,Phoenix,50,"$216,547.87"
Big Momma's House,Phoenix,50,"$182,026.93"
Compliance,Phoenix,50,$493.35
Jigsaw,Phoenix,50,"$58,920.32"
Street Kings,Phoenix,50,"$40,906.19"
Machete Kills,Phoenix,50,"$12,399.69"
The Hurricane Heist,Phoenix,50,"$9,469.63"
The Counselor,Phoenix,50,"$26,281.80"
Filth,Phoenix,50,$53.14
Patriots Day,Phoenix,50,"$49,372.27"
National Security,Phoenix,50,"$55,377.86"
Charlie's Angels: Full Throttle,Phoenix,50,"$156,123.54"
Holmes & Watson,Phoenix,50,"$47,339.65"
Mother,Phoenix,50,$847.42
The Hustle,Phoenix,50,"$54,839.11"
Transporter 2,Phoenix,50,"$66,728.45"
Spy Game,Phoenix,50,$41.61
The Gambler,Phoenix,50,"$52,151.04"
Sabotage,Phoenix,50,"$16,271.20"
Hitman: Agent 47,Phoenix,50,"$34,788.20"
The Life of David Gale,Phoenix,50,"$30,338.60"
Scoob!,Phoenix,50,"$3,388.52"
Elektra,Phoenix,50,"$37,795.58"
The Guilty,Phoenix,50,$320.73
A Most Wanted Man,Phoenix,50,"$26,689.84"
Parker,Phoenix,50,"$27,277.29"
Death to Smoochy,Phoenix,50,"$12,937.99"
Gold,Phoenix,50,"$11,190.22"
Killer Elite,Phoenix,50,"$38,903.08"
Masterminds,Phoenix,50,"$26,875.10"
Baby Boy,Phoenix,50,"$44,492.07"
Taken 3,Phoenix,50,"$138,203.05"
The Man Who Wasn't There,Phoenix,50,"$11,604.89"
Rush Hour 3,Phoenix,50,"$216,968.54"
Lilya 4-Ever,Phoenix,50,$281.27
Crank: High Voltage,Phoenix,50,"$21,104.80"
Little Man,Phoenix,50,"$90,804.95"
Hotel Artemis,Phoenix,50,"$10,386.77"
Mean Creek,Phoenix,50,$935.15
Date Night,Phoenix,50,"$152,842.97"
Matchstick Men,Phoenix,50,"$57,145.30"
Unleashed,Phoenix,50,"$37,967.71"
Killshot,Phoenix,50,$26.33
American Animals,Phoenix,50,"$4,423.66"
Hannibal Rising,Phoenix,50,"$42,845.26"
Flawless,Phoenix,50,"$1,858.42"
All Good Things,Phoenix,50,$895.56
Kill the Irishman,Phoenix,50,"$1,839.03"
Kiss of the Dragon,Phoenix,50,"$57,050.33"
Gridiron Gang,Phoenix,50,"$59,508.69"
Animal Kingdom,Phoenix,50,"$1,616.57"
Get Hard,Phoenix,50,"$139,991.47"
Shaft,Phoenix,50,"$108,904.30"
Assassination Nation,Phoenix,50,"$3,033.60"
Get Rich or Die Tryin',Phoenix,50,"$47,971.74"
Shaft,Phoenix,50,"$33,073.77"
Blue Ruin,Phoenix,50,$399.66
Starsky & Hutch,Phoenix,50,"$136,625.76"
Infernal Affairs,Phoenix,50,$262.70
Taking Lives,Phoenix,50,"$50,604.75"
Can You Ever Forgive Me?,Phoenix,50,"$13,631.75"
Osmosis Jones,Phoenix,50,"$21,053.21"
Taxi,Phoenix,50,"$56,687.92"
Beirut,Phoenix,50,"$7,771.68"
Catwoman,Phoenix,50,"$62,248.64"
Andhadhun,Phoenix,50,"$2,127.39"
Hustle & Flow,Phoenix,50,"$34,376.62"
Derailed,Phoenix,50,"$55,779.03"
Beast,Phoenix,50,"$1,239.27"
Thoroughbreds,Phoenix,50,"$4,383.12"
After the Sunset,Phoenix,50,"$43,867.57"
CBGB,Phoenix,50,$62.00
New York Minute,Phoenix,50,"$21,705.78"
Veronica Mars,Phoenix,50,"$5,139.25"
Sympathy for Mr. Vengeance,Phoenix,50,$70.12
The Three Burials of Melquiades Estrada,Phoenix,50,"$7,777.95"
The Happytime Murders,Phoenix,50,"$32,061.50"
Stuber,Phoenix,50,"$34,638.01"
True Story,Phoenix,50,"$7,307.89"
Hostage,Phoenix,50,"$53,635.86"
London Fields,Phoenix,50,$391.24
Tangerine,Phoenix,50,"$1,086.71"
Four Lions,Phoenix,50,$470.92
Spun,Phoenix,50,$635.21
The Sentinel,Phoenix,50,"$56,176.38"
A Nightmare on Elm Street,Phoenix,50,"$97,664.22"
Peter Rabbit,Phoenix,50,"$178,456.34"
Safe,Phoenix,50,"$26,542.49"
Fun with Dick and Jane,Phoenix,50,"$170,837.23"
Max Payne,Phoenix,50,"$63,002.73"
Redemption,Phoenix,50,$54.13
Death Wish,Phoenix,50,"$52,671.36"
Mindhunters,Phoenix,50,"$6,937.90"
Mr. Brooks,Phoenix,50,"$44,092.07"
The Watcher,Phoenix,50,"$44,791.16"
State of Play,Phoenix,50,"$57,317.94"
The Art of Self-Defense,Phoenix,50,"$3,733.02"
Ride Along,Phoenix,50,"$208,935.89"
Heist,Phoenix,50,$73.14
The Producers,Phoenix,50,"$30,004.13"
Baise-moi,Phoenix,50,$8.97
Machine Gun Preacher,Phoenix,50,$834.10
The Spirit,Phoenix,50,"$30,629.91"
The Man from Nowhere,Phoenix,50,$10.00
One for the Money,Phoenix,50,"$40,899.78"
The House,Phoenix,50,"$39,614.59"
'71,Phoenix,50,"$1,964.53"
Extract,Phoenix,50,"$16,744.49"
Romeo Must Die,Phoenix,50,"$86,668.11"
Saw III,Phoenix,50,"$124,240.20"
Gigli,Phoenix,50,"$9,396.72"
Mortdecai,Phoenix,50,"$11,776.48"
Trance,Phoenix,50,"$3,590.99"
Ichi the Killer,Phoenix,50,$31.41
The International,Phoenix,50,"$39,407.14"
Bad Santa,Phoenix,50,"$92,996.34"
Saw 3D,Phoenix,50,"$70,776.82"
Perfect Stranger,Phoenix,50,"$37,137.87"
Destroyer,Phoenix,50,"$2,374.17"
The Paperboy,Phoenix,50,"$1,072.47"
Paul Blart: Mall Cop,Phoenix,50,"$32,235.97"
The Perfect Score,Phoenix,50,"$16,084.14"
The Book of Henry,Phoenix,50,"$6,533.45"
Kidnap,Phoenix,50,"$47,563.37"
Righteous Kill,Phoenix,50,"$62,061.34"
Saving Silverman,Phoenix,50,"$29,963.62"
Trust,Phoenix,50,$185.83
Hunger,Phoenix,50,$238.58
Analyze That,Phoenix,50,"$49,737.51"
Murder by Numbers,Phoenix,50,"$49,464.23"
I Love You Phillip Morris,Phoenix,50,"$3,151.83"
Punisher: War Zone,Phoenix,50,"$12,306.79"
Where the Truth Lies,Phoenix,50,"$1,349.46"
Under Suspicion,Phoenix,50,$400.55
Cellular,Phoenix,50,"$49,553.83"
Bernie,Phoenix,50,"$14,250.06"
Ong-Bak: The Thai Warrior,Phoenix,50,"$7,060.72"
Assault on Precinct 13,Phoenix,50,"$30,930.59"
Femme Fatale,Phoenix,50,"$10,207.09"
Dead Man's Shoes,Phoenix,50,$9.31
Bad Samaritan,Phoenix,50,"$5,318.77"
Out of Time,Phoenix,50,"$63,337.00"
Horns,Phoenix,50,$254.68
The Gunman,Phoenix,50,"$16,475.78"
Premium Rush,Phoenix,50,"$31,394.14"
Sin Nombre,Phoenix,50,"$3,924.14"
The Condemned,Phoenix,50,$5.76
Malibu's Most Wanted,Phoenix,50,"$53,123.29"
"The Gangster, the Cop, the Devil",Phoenix,50,$335.22
Detroit,Phoenix,50,"$25,997.55"
Eye See You,Phoenix,50,$122.57
Child 44,Phoenix,50,"$1,867.56"
The Glass House,Phoenix,50,"$27,872.79"
Duplicity,Phoenix,50,"$62,822.24"
Appaloosa,Phoenix,50,"$31,288.16"
Cosmopolis,Phoenix,50,"$1,151.43"
The Quiet,Phoenix,50,$590.22
Fanboys,Phoenix,50,"$1,066.11"
Paid in Full,Phoenix,50,"$4,710.47"
Gotti,Phoenix,50,"$6,724.97"
Keanu,Phoenix,50,"$31,844.53"
Headhunters,Phoenix,50,"$1,853.03"
Death Sentence,Phoenix,50,"$14,762.67"
