movie,city,theater_count,estimated_city_gross
Machete,Miami,50,"$10,728.69"
The Big Bounce,Miami,50,"$2,610.76"
Regression,Miami,50,$22.08
Panic Room,Miami,50,"$38,889.63"
Revolver,Miami,50,$30.43
Once Upon a Time in Mexico,Miami,50,"$22,737.26"
The Hunted,Miami,50,"$13,812.90"
Frailty,Miami,50,"$5,286.49"
A Most Violent Year,Miami,50,"$2,315.82"
"Roman J. Israel, Esq.",Miami,50,"$4,826.12"
Tower Heist,Miami,50,"$31,486.37"
Despicable Me 3,Miami,50,"$106,757.54"
Phone Booth,Miami,50,"$18,786.23"
RED 2,Miami,50,"$21,487.75"
ATL,Miami,50,"$8,536.63"
Official Secrets,Miami,50,$159.56
Deliver Us from Evil,Miami,50,"$12,335.75"
The Whole Nine Yards,Miami,50,"$23,101.44"
Man on a Ledge,Miami,50,"$7,511.88"
Notes on a Scandal,Miami,50,"$7,063.53"
Disturbia,Miami,50,"$32,359.04"
The Mechanic,Miami,50,"$11,748.50"
Super,Miami,50,$129.97
The Raid 2,Miami,50,"$1,059.90"
Big Eyes,Miami,50,"$5,841.58"
Homefront,Miami,50,"$8,132.55"
Gangster Squad,Miami,50,"$18,558.17"
Shoplifters,Miami,50,"$1,336.77"
Elephant,Miami,50,$495.01
Hoodwinked!,Miami,50,"$20,730.93"
Snowden,Miami,50,"$8,709.07"
The Black Dahlia,Miami,50,"$9,084.58"
Sexy Beast,Miami,50,"$2,802.25"
Into the Blue,Miami,50,"$7,452.32"
Rush Hour 2,Miami,50,"$91,241.59"
Nerve,Miami,50,"$15,565.82"
Miss Congeniality 2: Armed & Fabulous,Miami,50,"$19,557.51"
Heartbreakers,Miami,50,"$16,273.02"
This Is England,Miami,50,$132.29
The Devil's Rejects,Miami,50,"$6,876.47"
A Scanner Darkly,Miami,50,"$2,219.52"
The Raven,Miami,50,"$6,458.23"
30 Minutes or Less,Miami,50,"$14,948.69"
Wild Card,Miami,50,$1.29
The Score,Miami,50,"$28,671.77"
Lady Vengeance,Miami,50,$85.39
The Texas Chainsaw Massacre,Miami,50,"$32,505.07"
Let's Be Cops,Miami,50,"$33,238.96"
The Infiltrator,Miami,50,"$6,223.27"
Everybody Knows,Miami,50,"$1,073.19"
The Losers,Miami,50,"$9,513.19"
Intolerable Cruelty,Miami,50,"$14,252.25"
Only God Forgives,Miami,50,$314.10
Bully,Miami,50,$620.34
Confessions of a Dangerous Mind,Miami,50,"$6,456.33"
A Single Man,Miami,50,"$3,698.19"
Dancer in the Dark,Miami,50,"$1,687.97"
Snakes on a Plane,Miami,50,"$13,725.04"
Swordfish,Miami,50,"$28,148.55"
Changeling,Miami,50,"$14,418.53"
Notorious,Miami,50,"$14,863.87"
The Ghost Writer,Miami,50,"$6,269.94"
Mechanic: Resurrection,Miami,50,"$8,560.15"
