movie,city,theater_count,estimated_city_gross
Man on a Ledge,New York,50,"$157,345.25"
Notes on a Scandal,New York,50,"$147,954.14"
Disturbia,New York,50,"$677,798.83"
The Mechanic,New York,50,"$246,086.44"
Super,New York,50,"$2,722.33"
The Raid 2,New York,50,"$22,200.80"
Big Eyes,New York,50,"$122,358.97"
Homefront,New York,50,"$170,346.03"
Gangster Squad,New York,50,"$388,723.07"
Shoplifters,New York,50,"$28,000.30"
Elephant,New York,50,"$10,368.56"
Hoodwinked!,New York,50,"$434,234.12"
Snowden,New York,50,"$182,421.78"
The Black Dahlia,New York,50,"$190,287.41"
Sexy Beast,New York,50,"$58,696.51"
Into the Blue,New York,50,"$156,097.67"
Rush Hour 2,New York,50,"$1,911,164.15"
Nerve,New York,50,"$326,044.59"
Miss Congeniality 2: Armed & Fabulous,New York,50,"$409,655.43"
Heartbreakers,New York,50,"$340,857.87"
This Is England,New York,50,"$2,771.03"
The Devil's Rejects,New York,50,"$144,035.81"
A Scanner Darkly,New York,50,"$46,490.50"
The Raven,New York,50,"$135,275.27"
30 Minutes or Less,New York,50,"$313,118.10"
Wild Card,New York,50,$27.04
The Score,New York,50,"$600,564.38"
Lady Vengeance,New York,50,"$1,788.66"
The Texas Chainsaw Massacre,New York,50,"$680,857.54"
Let's Be Cops,New York,50,"$696,229.70"
The Infiltrator,New York,50,"$130,353.78"
Everybody Knows,New York,50,"$22,479.29"
The Losers,New York,50,"$199,265.13"
Intolerable Cruelty,New York,50,"$298,530.32"
Only God Forgives,New York,50,"$6,579.14"
Bully,New York,50,"$12,993.83"
Confessions of a Dangerous Mind,New York,50,"$135,235.59"
A Single Man,New York,50,"$77,463.07"
Dancer in the Dark,New York,50,"$35,356.51"
Snakes on a Plane,New York,50,"$287,487.30"
Swordfish,New York,50,"$589,605.01"
Changeling,New York,50,"$302,013.33"
Notorious,New York,50,"$311,341.48"
The Ghost Writer,New York,50,"$131,331.31"
Mechanic: Resurrection,New York,50,"$179,302.63"
Border,New York,50,"$6,523.07"
The Bling Ring,New York,50,"$49,358.80"
Michael Clayton,New York,50,"$414,352.77"
Dope,New York,50,"$147,662.07"
A Walk Among the Tombstones,New York,50,"$222,308.05"
Super Troopers 2,New York,50,"$258,727.28"
Capote,New York,50,"$242,926.62"
Awake,New York,50,"$121,492.15"
The Hangover Part III,New York,50,"$948,128.28"
Taken 2,New York,50,"$1,181,815.68"
Big Momma's House,New York,50,"$993,416.72"
Compliance,New York,50,"$2,692.46"
Jigsaw,New York,50,"$321,559.21"
Street Kings,New York,50,"$223,246.61"
Machete Kills,New York,50,"$67,671.65"
The Hurricane Heist,New York,50,"$51,680.77"
The Counselor,New York,50,"$143,433.59"
Filth,New York,50,$290.02
Patriots Day,New York,50,"$269,450.46"
National Security,New York,50,"$302,226.11"
Charlie's Angels: Full Throttle,New York,50,"$852,048.29"
Holmes & Watson,New York,50,"$258,357.40"
Mother,New York,50,"$4,624.80"
The Hustle,New York,50,"$299,285.86"
Transporter 2,New York,50,"$364,172.29"
Spy Game,New York,50,$227.07
The Gambler,New York,50,"$284,615.69"
Sabotage,New York,50,"$88,800.51"
Hitman: Agent 47,New York,50,"$189,857.50"
The Life of David Gale,New York,50,"$165,573.68"
Scoob!,New York,50,"$18,492.93"
