movie,city,theater_count,estimated_city_gross
Changeling,Chicago,50,"$101,967.13"
Notorious,Chicago,50,"$105,116.55"
The Ghost Writer,Chicago,50,"$44,340.68"
Mechanic: Resurrection,Chicago,50,"$60,536.98"
Border,Chicago,50,"$2,202.35"
The Bling Ring,Chicago,50,"$16,664.75"
Michael Clayton,Chicago,50,"$139,895.70"
Dope,Chicago,50,"$49,854.35"
A Walk Among the Tombstones,Chicago,50,"$75,056.67"
Super Troopers 2,Chicago,50,"$87,352.70"
Capote,Chicago,50,"$82,018.01"
Awake,Chicago,50,"$41,018.74"
The Hangover Part III,Chicago,50,"$320,111.45"
Taken 2,Chicago,50,"$399,010.07"
Big Momma's House,Chicago,50,"$335,401.94"
Compliance,Chicago,50,$909.04
Jigsaw,Chicago,50,"$108,566.31"
Street Kings,Chicago,50,"$75,373.55"
Machete Kills,Chicago,50,"$22,847.61"
The Hurricane Heist,Chicago,50,"$17,448.70"
The Counselor,Chicago,50,"$48,426.71"
Filth,Chicago,50,$97.92
Patriots Day,Chicago,50,"$90,973.11"
National Security,Chicago,50,"$102,038.97"
Charlie's Angels: Full Throttle,Chicago,50,"$287,672.48"
Holmes & Watson,Chicago,50,"$87,227.82"
Mother,Chicago,50,"$1,561.45"
The Hustle,Chicago,50,"$101,046.28"
Transporter 2,Chicago,50,"$122,953.53"
Spy Game,Chicago,50,$76.66
The Gambler,Chicago,50,"$96,093.26"
Sabotage,Chicago,50,"$29,981.24"
Hitman: Agent 47,Chicago,50,"$64,100.56"
The Life of David Gale,Chicago,50,"$55,901.75"
Scoob!,Chicago,50,"$6,243.67"
Elektra,Chicago,50,"$69,641.95"
The Guilty,Chicago,50,$590.98
A Most Wanted Man,Chicago,50,"$49,178.57"
Parker,Chicago,50,"$50,261.01"
Death to Smoochy,Chicago,50,"$23,839.49"
Gold,Chicago,50,"$20,619.04"
Killer Elite,Chicago,50,"$71,682.63"
Masterminds,Chicago,50,"$49,519.94"
Baby Boy,Chicago,50,"$81,980.87"
Taken 3,Chicago,50,"$254,652.27"
The Man Who Wasn't There,Chicago,50,"$21,383.11"
Rush Hour 3,Chicago,50,"$399,785.19"
Lilya 4-Ever,Chicago,50,$518.27
Crank: High Voltage,Chicago,50,"$38,887.60"
Little Man,Chicago,50,"$167,316.76"
Hotel Artemis,Chicago,50,"$19,138.62"
Mean Creek,Chicago,50,"$1,723.10"
Date Night,Chicago,50,"$281,627.72"
Matchstick Men,Chicago,50,"$105,295.66"
Unleashed,Chicago,50,"$69,959.12"
Killshot,Chicago,50,$48.52
American Animals,Chicago,50,"$8,151.01"
Hannibal Rising,Chicago,50,"$78,946.47"
Flawless,Chicago,50,"$3,424.32"
All Good Things,Chicago,50,"$1,650.15"
Kill the Irishman,Chicago,50,"$3,388.59"
Kiss of the Dragon,Chicago,50,"$105,120.66"
Gridiron Gang,Chicago,50,"$109,650.44"
Animal Kingdom,Chicago,50,"$2,978.69"
Get Hard,Chicago,50,"$257,947.62"
Shaft,Chicago,50,"$200,666.55"
Assassination Nation,Chicago,50,"$5,589.69"
Get Rich or Die Tryin',Chicago,50,"$88,392.50"
Shaft,Chicago,50,"$60,941.58"
Blue Ruin,Chicago,50,$736.41
Starsky & Hutch,Chicago,50,"$251,745.97"
Infernal Affairs,Chicago,50,$484.04
Taking Lives,Chicago,50,"$93,244.07"
Can You Ever Forgive Me?,Chicago,50,"$25,117.79"
Osmosis Jones,Chicago,50,"$38,792.55"
Taxi,Chicago,50,"$104,452.89"
Beirut,Chicago,50,"$14,320.06"
Catwoman,Chicago,50,"$114,699.05"
Andhadhun,Chicago,50,"$3,919.92"
Hustle & Flow,Chicago,50,"$63,342.19"
Derailed,Chicago,50,"$102,778.18"
